fund_symbol,date,open_price,high_price,low_price,close_price,adj_close_price,volume
AAA,2020-09-09,25.1,25.12,25.07,25.07,24.85,17300
AAA,2020-09-10,25.06,25.07,25.05,25.07,24.85,23500
AAA,2020-09-11,25.04,25.05,25.02,25.03,24.81,33400
AAA,2020-09-14,25.01,25.06,25.01,25.02,24.8,13100
AAA,2020-09-15,25.02,25.03,25.01,25.01,24.79,12100
AAA,2020-09-16,24.97,24.98,24.97,24.97,24.75,14100
AAA,2020-09-17,24.99,25.0,24.98,24.98,24.76,15200
AAA,2020-09-18,24.97,24.98,24.97,24.98,24.76,5300
AAA,2020-09-21,24.99,24.99,24.98,24.98,24.76,8600
AAA,2020-09-22,24.98,24.99,24.98,24.98,24.76,8100
AAA,2020-09-23,24.99,25.0,24.99,24.99,24.77,4400
AAA,2020-09-24,24.99,24.99,24.98,24.98,24.76,7000
AAA,2020-09-25,24.99,25.0,24.97,24.98,24.76,115400
AAA,2020-09-28,24.96,24.97,24.95,24.95,24.74,6200
AAA,2020-09-29,24.94,24.95,24.93,24.94,24.73,8000
AAA,2020-09-30,24.96,24.97,24.96,24.96,24.74,5400
AAA,2020-10-01,24.93,24.93,24.92,24.92,24.71,24900
AAA,2020-10-02,24.91,24.92,24.91,24.92,24.71,3000
AAA,2020-10-05,24.91,24.94,24.91,24.92,24.71,28900
AAA,2020-10-06,24.89,24.91,24.89,24.91,24.7,3900
AAA,2020-10-07,24.9,24.91,24.9,24.9,24.69,3800
AAA,2020-10-08,24.9,24.91,24.9,24.9,24.69,1700
AAA,2020-10-09,24.88,24.91,24.88,24.9,24.69,16000
AAA,2020-10-12,24.9,24.9,24.9,24.9,24.69,600
AAA,2020-10-13,24.92,24.92,24.91,24.91,24.7,400
AAA,2020-10-14,24.92,24.92,24.91,24.91,24.7,300
AAA,2020-10-15,24.91,24.92,24.9,24.91,24.7,2200
AAA,2020-10-16,24.91,24.91,24.9,24.91,24.7,600
AAA,2020-10-19,24.9,24.91,24.9,24.91,24.7,6300
AAA,2020-10-20,24.91,24.92,24.9,24.91,24.7,16800
AAA,2020-10-21,24.95,24.95,24.95,24.95,24.74,2700
AAA,2020-10-22,24.94,24.94,24.93,24.93,24.73,1900
AAA,2020-10-23,24.95,24.95,24.95,24.95,24.75,500
AAA,2020-10-26,24.96,24.96,24.94,24.95,24.74,700
AAA,2020-10-27,24.96,24.96,24.95,24.95,24.75,100
AAA,2020-10-28,24.95,24.96,24.95,24.95,24.75,1300
AAA,2020-10-29,24.94,24.96,24.94,24.94,24.74,1800
AAA,2020-10-30,24.95,24.95,24.94,24.95,24.74,1600
AAA,2020-11-02,24.9,24.9,24.89,24.89,24.71,9200
AAA,2020-11-03,24.89,24.89,24.89,24.89,24.71,100
AAA,2020-11-04,24.88,24.9,24.88,24.89,24.71,200
AAA,2020-11-05,24.87,24.87,24.87,24.87,24.69,1100
AAA,2020-11-06,24.89,24.89,24.89,24.89,24.7,100
AAA,2020-11-09,24.93,24.94,24.93,24.93,24.75,3900
AAA,2020-11-10,24.94,24.94,24.92,24.92,24.74,1800
AAA,2020-11-11,24.93,24.93,24.93,24.93,24.75,100
AAA,2020-11-12,24.94,24.94,24.94,24.94,24.76,300
AAA,2020-11-13,25.0,25.01,25.0,25.01,24.83,1500
AAA,2020-11-16,25.01,25.02,25.01,25.01,24.83,5200
AAA,2020-11-17,25.01,25.01,25.0,25.0,24.82,2600
AAA,2020-11-18,25.03,25.05,25.01,25.03,24.85,27900
AAA,2020-11-19,25.03,25.03,25.03,25.03,24.85,1500
AAA,2020-11-20,25.03,25.04,25.03,25.04,24.86,4800
AAA,2020-11-23,25.04,25.04,25.04,25.04,24.86,0
AAA,2020-11-24,25.05,25.05,25.04,25.04,24.86,800
AAA,2020-11-25,25.05,25.05,25.05,25.05,24.87,200
AAA,2020-11-27,25.05,25.05,25.05,25.05,24.87,300
AAA,2020-11-30,25.05,25.05,25.04,25.05,24.87,2700
AAA,2020-12-01,25.04,25.04,25.03,25.03,24.87,300
AAA,2020-12-02,25.02,25.03,25.02,25.03,24.87,2400
AAA,2020-12-03,25.04,25.04,25.04,25.04,24.88,500
AAA,2020-12-04,25.05,25.05,25.05,25.05,24.89,800
AAA,2020-12-07,25.06,25.06,25.06,25.06,24.89,600
AAA,2020-12-08,25.05,25.06,25.05,25.05,24.89,3000
AAA,2020-12-09,25.06,25.06,25.06,25.06,24.9,100
AAA,2020-12-10,25.06,25.06,25.06,25.06,24.9,200
AAA,2020-12-11,25.07,25.07,25.06,25.06,24.9,800
AAA,2020-12-14,25.06,25.06,25.06,25.06,24.9,1100
AAA,2020-12-15,25.06,25.06,25.06,25.06,24.9,1900
AAA,2020-12-16,25.07,25.07,25.07,25.07,24.91,100
AAA,2020-12-17,25.07,25.09,25.07,25.07,24.91,1500
AAA,2020-12-18,25.07,25.08,25.07,25.08,24.92,3000
